kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing
K06671.01,FALSE POSITIVE,11.702203927,2.75173,28999.0,57.95,6148.0,3.793,2.133,13.393,0,0,0,0,0
K06672.01,CANDIDATE,2.28494301,1.01,161.8,1.0,5396.0,4.571,0.789,15.181,0,0,0,0,0
K06673.01,FALSE POSITIVE,3.722775537,14.3309,107590.0,90.36,5425.0,3.678,2.592,12.746,0,0,0,0,0
K06674.01,FALSE POSITIVE,1.245342215,4.40308,234090.0,90.34,6967.0,4.25,1.476,12.142,0,0,0,0,0
K06675.01,FALSE POSITIVE,0.604755462,1.3741,334.5,1.29,4842.0,4.616,0.726,15.553,0,0,0,0,0
K06676.01,CANDIDATE,439.21978,9.392,342.3,1.81,6553.0,4.479,0.962,13.993,0,0,0,0,0
K06677.01,FALSE POSITIVE,8.144135648,8.88876,87881.0,56.52,7605.0,4.123,1.862,13.96,0,0,0,0,0
K06804.01,FALSE POSITIVE,0.566795196,2.18,14.8,0.35,5680.0,4.516,0.908,12.818,0,0,0,0,0
K06805.01,FALSE POSITIVE,0.566798827,3.662,34.9,0.52,5548.0,4.473,0.889,13.656,0,0,0,0,0
K06806.01,FALSE POSITIVE,0.56678012,3.257,27.6,0.49,5674.0,4.506,0.911,14.311,0,0,0,0,0
K06807.01,FALSE POSITIVE,0.566800113,3.315,104.0,0.58,3844.0,4.721,0.526,15.765,0,0,0,0,0
K06808.01,FALSE POSITIVE,0.56679293,3.814,101.1,0.86,5812.0,4.551,0.853,15.787,0,0,0,0,0
K06809.01,FALSE POSITIVE,0.566809491,3.156,69.5,0.55,4987.0,4.611,0.654,14.873,0,0,0,0,0
K06810.01,FALSE POSITIVE,0.566799218,4.227,18.2,0.79,6108.0,3.893,1.753,11.983,0,0,0,0,0
K06811.01,FALSE POSITIVE,0.566797404,4.109,69.4,0.64,5313.0,4.51,0.784,15.354,0,0,0,0,0
K06934.01,CANDIDATE,22.2548897,13.454,83.8,2.16,5349.0,3.76,2.388,14.156,0,0,0,0,0
K06935.01,FALSE POSITIVE,4.719336335,2.83787,12367.0,91.91,6792.0,3.971,2.058,12.672,0,0,0,0,0
K06936.01,FALSE POSITIVE,1.258274109,1.92467,14160.0,25.98,4937.0,4.669,0.587,15.179,0,0,0,0,0
K06937.01,FALSE POSITIVE,8.966610607,4.01883,59618.0,56.94,6480.0,4.351,1.132,13.478,0,0,0,0,0
K06938.01,FALSE POSITIVE,15.32763411,6.0662,17749.0,291.01,4830.0,2.987,6.784,12.672,0,0,0,0,0
K06939.01,FALSE POSITIVE,2.10413487,4.2269,321240.0,67.03,5780.0,4.438,1.0,19.485,0,0,0,0,0
K06940.01,FALSE POSITIVE,6.767341062,4.49213,244950.0,52.84,5926.0,4.513,0.843,14.143,0,0,0,0,0
K06941.01,FALSE POSITIVE,1.92730001,18.812,6177.1,45.99,6057.0,4.352,1.11,13.943,0,0,0,0,0
K07068.01,FALSE POSITIVE,48.79936881,8.80873,324550.0,67.36,6170.0,4.472,0.992,15.05,0,0,0,0,0
K07069.01,CANDIDATE,1.01485981,1.65,243.0,1.61,6158.0,4.453,1.024,15.572,0,0,0,0,0
K07070.01,FALSE POSITIVE,5.882036054,5.16326,238520.0,119.09,5837.0,4.282,1.187,13.781,0,0,0,0,0
K07071.01,FALSE POSITIVE,4.059428737,5.26926,245220.0,67.38,6610.0,4.281,1.33,13.374,0,0,0,0,0
K07072.01,CANDIDATE,15.3902613,3.431,76.8,4.39,5649.0,3.282,4.994,13.808,0,0,0,0,0
K07073.01,CANDIDATE,279.036565,31.92,395.2,30.25,6072.0,4.285,1.273,13.054,0,0,0,0,0
